Year,County,Population
1996,Alachua,819
1996,Baker,123
1996,Bay,1122
1996,Bradford,262
1996,Brevard,1583
1996,Broward,6918
1996,Calhoun,113
1996,Charlotte,320
1996,Citrus,163
1996,Clay,285
1996,Collier,501
1996,Columbia,446
1996,Dade,8434
1996,DeSoto,207
1996,Dixie,128
1996,Duval,3739
1996,Escambia,1839
1996,Flagler,69
1996,Franklin,68
1996,Gadsden,378
1996,Gilchrist,27
1996,Glades,29
1996,Gulf,49
1996,Hamilton,77
1996,Hardee,138
1996,Hendry,118
1996,Hernando,358
1996,Highlands,365
1996,Hillsborough,6508
1996,Holmes,80
1996,Indian River,432
1996,Jackson,384
1996,Jefferson,93
1996,Lafayette,40
1996,Lake,595
1996,Lee,1033
1996,Leon,1132
1996,Levy,76
1996,Liberty,35
1996,Madison,120
1996,Manatee,883
1996,Marion,926
1996,Martin,418
1996,Monroe,641
1996,Nassau,144
1996,Okaloosa,515
1996,Okeechobee,160
1996,Orange,3689
1996,Osceola,511
1996,Palm Beach,2334
1996,Pasco,1087
1996,Pinellas,4312
1996,Polk,3092
1996,Putnam,468
1996,St. Johns,383
1996,St. Lucie,964
1996,Santa Rosa,234
1996,Sarasota,761
1996,Seminole,791
1996,Sumter,163
1996,Suwannee,181
1996,Taylor,199
1996,Union,182
1996,Volusia,1598
1996,Wakulla,71
1996,Walton,121
1996,Washington,99
1996,Interstate,133
1996,Data Unavailable,67
1996,TOTAL,64333
2006,Jackson,3898
2006,Jefferson,1147
2006,Calhoun,1421
2006,Escambia,1706
2006,Holmes,1369
2006,Walton,1434
2006,Gulf,3147
2006,Washington,1362
2006,Gadsden,1912
2006,Bay,821
2006,Franklin,1402
2006,Okaloosa,1170
2006,Wakulla,1537
2006,Santa Rosa,1744
2006,Liberty,1552
2006,Columbia,3100
2006,Bradford,4434
2006,Union,4779
2006,Dixie,1259
2006,Lafayette,1707
2006,Hamilton,2822
2006,Madison,1473
2006,Taylor,1979
2006,Alachua,731
2006,Baker,1451
2006,Gilchrist,764
2006,Putnam,458
2006,Volusia,1708
2006,Marion,3737
2006,Sumter,1810
2006,Brevard,1240
2006,Lake,1080
2006,Orange,2251
2006,Hernando,422
2006,Polk,2929
2006,Hillsborough,287
2006,Pasco,716
2006,Miami-Dade,5757
2006,Okeechobee,1623
2006,Palm Beach,3471
2006,Indian River,435
2006,Martin,1303
2006,Broward,1155
2006,Hardee,1737
2006,DeSoto,1820
2006,Charlotte,1022
2006,Glades,746
2006,Hendry,942
2006,Levy,290
2006,Lee,117
2006,Leon,243
2006,Duval,272
2006,Pinellas,443
2006,Osceola,114
2006,Manatee,112
2006,St. Lucie,84
2006,Monroe,64
2015,Alachua,1750
2015,Baker,194
2015,Bay,1779
2015,Bradford,322
2015,Brevard,3007
2015,Broward,7772
2015,Calhoun,151
2015,Charlotte,771
2015,Citrus,1006
2015,Clay,979
2015,Collier,1062
2015,Columbia,738
2015,DeSoto,294
2015,Dixie,117
2015,Duval,7724
2015,Escambia,2848
2015,Flagler,352
2015,Franklin,97
2015,Gadsden,448
2015,Gilchrist,80
2015,Glades,85
2015,Gulf,95
2015,Hamilton,70
2015,Hardee,206
2015,Hendry,229
2015,Hernando,846
2015,Highlands,717
2015,Hillsborough,6940
2015,Holmes,191
2015,Indian River,688
2015,Jackson,434
2015,Jefferson,128
2015,Lafayette,40
2015,Lake,1430
2015,Lee,2651
2015,Leon,2312
2015,Levy,281
2015,Liberty,88
2015,Madison,135
2015,Manatee,1639
2015,Marion,2707
2015,Martin,1058
2015,Miami-Dade,7958
2015,Monroe,417
2015,Nassau,312
2015,Okaloosa,1011
2015,Okeechobee,499
2015,Orange,5448
2015,Osceola,1306
2015,Palm Beach,4034
2015,Pasco,2132
2015,Pinellas,5760
2015,Polk,4341
2015,Putnam,811
2015,St. Johns,713
2015,St. Lucie,1504
2015,Santa Rosa,1564
2015,Sarasota,882
2015,Seminole,1951
2015,Sumter,314
2015,Suwannee,418
2015,Taylor,242
2015,Union,130
2015,Volusia,2866
2015,Wakulla,148
2015,Walton,368
2015,Washington,219
2015,Other States,137
2015,Data    Unavailable,104
2015,Total,100050
